"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",negative,['NA']
@VirginAmerica everything was fine until you lost my bag,negative,['baggage handling']
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,neutral,['NA']
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,neutral,['customer service']
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",neutral,['baggage handling']
@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,negative,['NA']
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",positive,['NA']
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,positive,['NA']
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,neutral,['NA']
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,negative,['customer service']
@VirginAmerica what happened to Doom?!,neutral,['NA']
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,negative,['customer service']
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,positive,['NA']
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,negative,"['flight delays', 'on-time performance']"
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,negative,['flight delays']
@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,negative,['customer service']
@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,neutral,['NA']
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,neutral,['NA']
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,neutral,['customer service']
@VirginAmerica Why is the site down?  When will it be back up?,negative,['NA']
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",neutral,['NA']
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",neutral,['loyalty programs']
@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,negative,['flight delays']
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",negative,['on-time performance']
@VirginAmerica why is flight 345 redirected?,neutral,['NA']
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",negative,['in-flight experience']
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,negative,['NA']
@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,negative,['in-flight experience']
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,negative,['NA']
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,neutral,['NA']
@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,negative,"['on-time performance', 'baggage handling']"
@VirginAmerica check out new music http://t.co/maRcnOCWzn,neutral,['NA']
@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,negative,['NA']
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,negative,"['on-time performance', 'baggage handling']"
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",positive,['customer service']
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,negative,['NA']
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,neutral,['NA']
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",neutral,['pricing']
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",positive,['pricing']
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",neutral,['pricing']
@VirginAmerica Have a great week 🌞✈,positive,['NA']
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",negative,"['flight delays', 'on-time performance']"
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",positive,"['customer service', 'in-flight experience']"
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,positive,['NA']
@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,positive,['NA']
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",positive,"['flight delays', 'on-time performance']"
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,negative,['NA']
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",negative,['NA']
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,negative,"['flight delays', 'on-time performance', 'customer service']"
@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,positive,['NA']
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,positive,['customer service']
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",neutral,['NA']
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,negative,['customer service']
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,positive,['in-flight experience']
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,neutral,['NA']
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,neutral,['flight delays']
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,negative,['NA']
@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,negative,['NA']
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,neutral,['NA']
@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,negative,"['flight delays', 'customer service']"
@VirginAmerica Another delayed flight? #likingyoulessandless,negative,"['flight delays', 'on-time performance']"
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,negative,['customer service']
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,positive,['NA']
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",neutral,['NA']
@VirginAmerica always!!! Xoxo,positive,['NA']
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,negative,['NA']
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,negative,['baggage handling']
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,positive,['customer service']
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,negative,['on-time performance']
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,positive,"['customer service', 'in-flight experience']"
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",negative,['flight delays']
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,negative,['NA']
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,positive,['NA']
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,positive,['NA']
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,negative,['baggage handling']
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,negative,['baggage handling']
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),positive,['NA']
"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",neutral,['flight delays']
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,neutral,['on-time performance']
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,neutral,['NA']
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,negative,['NA']
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,negative,['flight delays']
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",negative,['NA']
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",negative,['NA']
"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",negative,['flight delays']
@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,negative,['NA']
@VirginAmerica is the website down?,negative,['NA']
@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,negative,['NA']
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,negative,['NA']
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,neutral,['NA']
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,negative,['NA']
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,neutral,['NA']
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",neutral,['NA']
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,neutral,['NA']
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",negative,['NA']
@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,negative,['NA']
@VirginAmerica I'd love to know what your policy is for damaged luggage.,neutral,['baggage handling']
@VirginAmerica Thank you for the follow,positive,['NA']
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,negative,['NA']
@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,negative,['NA']
@VirginAmerica @TTINAC11 I DM you,neutral,['NA']
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,negative,['NA']
@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,negative,['flight delays']
@VirginAmerica Only way to fly! #Elevate #Gold,positive,['NA']
"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",negative,['NA']
@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,negative,['NA']
@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,neutral,['customer service']
@VirginAmerica you will match my #AmericanAirlines status? Cool!,positive,['NA']
“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,neutral,['NA']
@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,negative,['NA']
@VirginAmerica thanks!,positive,['NA']
@VirginAmerica Just DM'd. Same issue persisting.,negative,['NA']
@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,negative,['flight delays']
@VirginAmerica trying to book a flight &amp; your site is down 😁,negative,['NA']
@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,negative,['flight delays']
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,negative,['flight delays']
@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,positive,['NA']
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",positive,['NA']
@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,neutral,"['flight delays', 'customer service']"
@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,positive,['NA']
@VirginAmerica Keep up the great work :),positive,['NA']
@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,positive,['NA']
@VirginAmerica can you please get me to the new york area before monday afternoon,neutral,['NA']
"@VirginAmerica Thanks so much for the awesome support, you guys rock!",positive,['NA']
@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,negative,['NA']
@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,negative,"['flight delays', 'on-time performance']"
@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,negative,['flight delays']
@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,positive,['NA']
@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,negative,['NA']
"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",neutral,['NA']
"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",negative,['loyalty programs']
@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,negative,['NA']
"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",negative,"['flight delays', 'on-time performance']"
@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,negative,['NA']
@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,negative,['pricing']
@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,negative,['flight delays']
@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,positive,['NA']
@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,positive,['NA']
@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,negative,['NA']
@VirginAmerica hold times at call center are a bit much,negative,['NA']
@VirginAmerica Like http://t.co/VPqEm31XUQ,positive,['NA']
@VirginAmerica Site down? #help,negative,['customer service']
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,positive,['NA']
"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",positive,['NA']
@VirginAmerica thanks so much!,positive,['NA']
"@VirginAmerica Trying to reset my password, email never arrives. Help?",negative,['customer service']
"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",positive,['NA']
@VirginAmerica Very nicely done. 👏,positive,['NA']
@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),positive,['NA']
@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,negative,"['flight delays', 'on-time performance']"
"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",negative,['flight delays']
@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,positive,['NA']
@VirginAmerica sounds like fun !,positive,['NA']
@virginamerica spruce moose!,neutral,['NA']
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",negative,['NA']
"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",negative,['NA']
"@VirginAmerica classiq, luv Virgin America. Greetingz",positive,['NA']
"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",negative,['NA']
@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,positive,['customer service']
@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,positive,['NA']
@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,positive,['NA']
"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",negative,['NA']
@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,negative,['NA']
@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,negative,"['baggage handling', 'customer service']"
"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",positive,['NA']
"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",neutral,['NA']
@VirginAmerica any plans to start flying direct from DAL to LAS?,neutral,['NA']
@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,neutral,['NA']
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,neutral,['NA']
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,neutral,['NA']
@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,negative,['NA']
@VirginAmerica there is something wrong with you website in Safari iPhone,negative,['NA']
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,positive,"['on-time performance', 'baggage handling']"
@VirginAmerica Already checked in so the page expired :X,negative,['NA']
@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,negative,['NA']
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,neutral,['NA']
@VirginAmerica I see what you did there ;),positive,['NA']
@VirginAmerica way to take advantage of #MayweatherPacquiao :),neutral,['NA']
@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,neutral,['NA']
@VirginAmerica your inflight team makes the experience #amazing!,positive,['in-flight experience']
@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,positive,['NA']
"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",negative,['NA']
@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,neutral,['NA']
@VirginAmerica fav airline,positive,['NA']
@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),positive,['NA']
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,neutral,['NA']
@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,neutral,['NA']
@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,negative,"['baggage handling', 'customer service']"
@VirginAmerica Thank you!!,positive,['NA']
@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,negative,['NA']
@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,neutral,['NA']
@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,neutral,['NA']
@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,negative,['NA']
@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,negative,['NA']
@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),negative,['NA']
@VirginAmerica what is your policy on flying after surgery?,neutral,['NA']
@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,neutral,['NA']
"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",negative,['NA']
@VirginAmerica would love to do more for virgin just like I do for @GoPro,positive,['NA']
"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application.",neutral,['NA']
"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ",neutral,['NA']
@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,negative,['NA']
@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA,neutral,"['flight delays', 'on-time performance']"
@VirginAmerica @madbee95 check the website before you go to the airport!,neutral,['NA']
@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,neutral,['NA']
@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,positive,['safety']
"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",negative,['baggage handling']
